12/4/14 3:18,12/4/14 3:18,12/4/14 3:20,1.485888417
12/4/14 11:14,12/4/14 11:14,12/4/14 11:10,3.481224292
12/4/14 12:21,12/4/14 12:21,12/4/14 12:20,3.778401975
12/4/14 14:01,12/4/14 14:01,12/4/14 14:00,4.202941523
12/4/14 14:51,12/4/14 14:51,12/4/14 14:50,4.415211297
12/4/14 17:01,12/4/14 17:01,12/4/14 17:00,4.967112709
12/4/14 21:06,12/4/14 21:06,12/4/14 21:10,6.028461579
12/5/14 4:03,12/5/14 4:03,12/5/14 4:00,1.485888417
12/5/14 5:45,12/5/14 5:45,12/5/14 5:50,1.95288192
12/5/14 5:55,12/5/14 5:55,12/5/14 6:00,1.995335875
12/5/14 6:39,12/5/14 6:39,12/5/14 6:40,2.165151694
12/5/14 7:50,12/5/14 7:50,12/5/14 7:50,2.462329377
12/5/14 8:27,12/5/14 8:27,12/5/14 8:30,2.632145196
12/5/14 11:23,12/5/14 11:23,12/5/14 11:20,3.353862427
12/5/14 13:54,12/5/14 13:54,12/5/14 13:50,3.990671749
12/5/14 14:47,12/5/14 14:47,12/5/14 14:50,4.245395478
12/5/14 15:45,12/5/14 15:45,12/5/14 15:50,4.500119206
12/5/14 16:29,12/5/14 16:29,12/5/14 16:30,4.669935026
12/5/14 16:32,12/5/14 16:32,12/5/14 16:30,4.669935026
12/5/14 16:48,12/5/14 16:48,12/5/14 16:50,4.754842935
12/5/14 17:01,12/5/14 17:01,12/5/14 17:00,4.79729689
12/5/14 17:50,12/5/14 17:50,12/5/14 17:50,5.009566664
12/5/14 18:45,12/5/14 18:45,12/5/14 18:50,5.264290393
12/5/14 21:36,12/5/14 21:36,12/5/14 21:40,5.986007624
12/5/14 22:52,12/5/14 22:52,12/5/14 22:50,0
12/6/14 1:55,12/6/14 1:55,12/6/14 2:00,0.806625141
12/6/14 2:46,12/6/14 2:46,12/6/14 2:50,1.018894915
12/6/14 6:38,12/6/14 6:38,12/6/14 6:40,1.995335875
12/6/14 7:20,12/6/14 7:20,12/6/14 7:20,2.165151694
12/6/14 7:23,12/6/14 7:23,12/6/14 7:20,2.165151694
12/6/14 10:29,12/6/14 10:29,12/6/14 10:30,2.971776834
12/6/14 12:17,12/6/14 12:17,12/6/14 12:20,3.438770337
12/6/14 16:22,12/6/14 16:22,12/6/14 16:20,4.457665252
12/6/14 17:34,12/6/14 17:34,12/6/14 17:30,4.754842935
12/6/14 20:20,12/6/14 20:20,12/6/14 20:20,5.476560166
12/6/14 21:08,12/6/14 21:08,12/6/14 21:10,5.68882994
